Drug Name,Salt,Dosage Form,Strengh,Route of Admin,ATC Code,Ingredient,Approved clinical indications,Access level,Remarks,Date,,
Carboplatin,,"INJECTION, SOLUTION",50 mg,INTRAVENOUS DRIP,L01XA02,,,,, 1371/04/14,,
Carboprost,As Tromethamine,INJECTION,250 mcg/ml,PARENTERAL,G02AD04,,,,,1385/10/26,,
Cardioplegic,,"SOLUTION;PERFUSION, CARDIAC",,,B05XA16,CALCIUM CHLORIDE17.6MG/100ML; MAGNESIUM CHLORIDE 325.3MG/100 ML ; POTASSIUM CHLORIDE 119.3MG/100ML ; SODIUM CHLORIDE 643MG/100ML,,,,1401/08/10,,
Carglumic Acid,,"TABLET, DISPERSIBLE",200 mg,ORAL,A16AA05,,,Orphan medicines,,1393/01/24,,
Carmustine,,"INJECTION, POWDER",100 mg,PARENTERAL,L01AD01,,Treatment of intracranial malignancies  ,,,1374/08/21,,
Carvedilol,,TABLET,12.5 mg,ORAL,C07AG02,,,,,1382/10/07,,
Carvedilol,,TABLET,25 mg,ORAL,C07AG02,,,,,1382/10/07,,
Carvedilol,,TABLET,3.125 mg,ORAL,C07AG02,,,,,1388/08/20,,
Carvedilol,,TABLET,6.25 mg,ORAL,C07AG02,,,,,1382/10/07,,
Carvedilol  ,phosphate,"CAPSULE, EXTENDED RELEASE",10 mg ,"CAPSULE, EXTENDED RELEASE",C07AG02,,,,,1399/12/26,,
Carvedilol  ,phosphate,"CAPSULE, EXTENDED RELEASE",20 mg,"CAPSULE, EXTENDED RELEASE",C07AG02,,,,,1399/12/26,,
Carvedilol  ,phosphate,"CAPSULE, EXTENDED RELEASE",40 mg,"CAPSULE, EXTENDED RELEASE",C07AG02,,,,,1399/12/26,,
Casoni Test   ,,INJECTION,,PARENTERAL,V04,,,Hospital only,,1361/08/20,,
Caspofungin,As Acetate,"INJECTION, POWDER",50 mg,PARENTERAL,J02AX04,,,Hospital only,,1385/09/07,,
Caspofungin,As Acetate,"INJECTION, POWDER",70 mg,PARENTERAL,J02AX04,,,Hospital only,,1385/09/07,,
Cefalexin,,"POWDER, FOR SUSPENSION",125 mg,ORAL, J01DB01,,,,Sachet,1365/01/24,,
Cefalexin,,"POWDER, FOR SUSPENSION",125 mg/5ml,ORAL, J01DB01,,,,, ,,
Cefalexin,,"POWDER, FOR SUSPENSION",250 mg,ORAL, J01DB01,,,,Sachet,1365/01/24,,
Cefalexin,,CAPSULE,250 mg,ORAL, J01DB01,,,,,,,
Cefalexin,,TABLET,250 mg,ORAL, J01DB01,,,,,,,
Cefalexin,,"POWDER, FOR SUSPENSION",250 mg/5ml,ORAL, J01DB01,,,,,,,
Cefalexin,,CAPSULE,500 mg,ORAL,J01DB01,,,,, ,,
Cefalexin,,TABLET,500 mg,ORAL,J01DB01,,,,,,,
Cefazolin,As Sodium,"INJECTION, POWDER",1 g,PARENTERAL, J01DB04,,,,,,,
Cefazolin,As Sodium,"INJECTION, POWDER",250 mg,PARENTERAL,J01DB04,,,,,,,
Cefazolin,As Sodium,"INJECTION, POWDER",500 mg,PARENTERAL,J01DB04,,,,,,,
Cefepime,As HCl or DiHCl,"INJECTION, POWDER",1 g,PARENTERAL,J01DE01,,,Hospital only,,1381/12/04,,
Cefepime,As HCl or DiHCl,"INJECTION, POWDER",2 g,PARENTERAL,J01DE01,,,Hospital only,,1381/12/04,,
Cefepime,As HCl or DiHCl,"INJECTION, POWDER",500mg,PARENTERAL,J01DE01,,,Hospital only,,1381/12/04,,
Cefixime,,"POWDER, FOR SUSPENSION",100 mg,ORAL,J01DD08,,,,,1379/02/04,,
Cefixime,,"POWDER, FOR SUSPENSION",200 mg,ORAL,J01DD08,,,,,1395/06/24,,
Cefixime,,"POWDER, FOR SUSPENSION",100 mg,ORAL,J01DD08,,,,,1395/06/24,,
Cefixime,,TABLET,200 mg,ORAL,J01DD08,,,,,1379/02/04,,
Cefixime,,CAPSULE,400 mg,ORAL,J01DD08,,,,,,,
Cefixime,,TABLET,400 mg,ORAL,J01DD08,,,,,1379/02/04,,
Cefixime,,"POWDER, FOR SUSPENSION",50 mg,ORAL, J01DD08,,,,Sachet,1373/03/22,,
Cefotaxime,As Sodium,"INJECTION, POWDER",1 g,PARENTERAL,J01DD01,,,Hospital only,,1376/06/30,,
Cefotaxime,As Sodium,"INJECTION, POWDER",500 mg,PARENTERAL,J01DD01,,,Hospital only,,1372/03/30,,
Ceftazidime,As Pentahydrate,"INJECTION, POWDER",1 g,PARENTERAL,J01DD02,,,Hospital only,,1372/07/11,,
Ceftazidime,As Pentahydrate,"INJECTION, POWDER",2 g,PARENTERAL,J01DD02,,,Hospital only,,1374/04/31,,
Ceftazidime,As Pentahydrate,"INJECTION, POWDER",500 mg,PARENTERAL,J01DD02,,,Hospital only,, 1372/07/11,,
Ceftazidime/Avibactam (As sodium),,"INJECTION, POWDER",,PARENTRAL,J01DD52,Ceftazidime  2 g /Avibactam 0.5 g (As sodium),infections caused by carbapenem-resistant pneomonia,Hospital only,RESERVE,1402/08/08,,
Ceftizoxime,As Sodium,"INJECTION, POWDER",1 g,PARENTERAL,J01DD07,,,Hospital only,,1368/06/19,,
Ceftizoxime,As Sodium,"INJECTION, POWDER",500 mg,PARENTERAL,J01DD07,,,Hospital only,,1368/06/19,,
Ceftriaxone,As Sodium,"INJECTION, POWDER",1 g,PARENTERAL,J01DD04,,,Hospital only,,1370/11/20,,
Ceftriaxone,As Sodium,"INJECTION, POWDER",2 g,PARENTERAL,J01DD04,,,Hospital only,,1388/02/30,,
Ceftriaxone,As Sodium,"INJECTION, POWDER",250 mg,PARENTERAL,J01DD04   ,,,Hospital only,,1371/08/24,,
Ceftriaxone,As Sodium,"INJECTION, POWDER",500 mg,PARENTERAL,J01DD04,,,Hospital only,,1370/11/20,,
Cefuroxime,As Sodium,"INJECTION, POWDER",1.5 g,PARENTERAL, J01DC02,,,,,1381/07/28,,
Cefuroxime,As Axetil,TABLET,125 mg,ORAL,J01DC02,,,,,1379/12/07,,
Cefuroxime,As Axetil,"POWDER, FOR SUSPENSION",125 mg/5ml,ORAL,J01DC02,,,,,1379/12/07,,
Cefuroxime,As Sodium,"INJECTION, POWDER",250 mg,PARENTERAL,J01DC02,,,,,1381/07/28,,
Cefuroxime,As Axetil,TABLET,250 mg,ORAL,J01DC02,,,,,1379/12/07,,
Cefuroxime,As Axetil,"POWDER, FOR SUSPENSION",250 mg/5ml,ORAL,J01DC02,,,,,,,
Cefuroxime,As Axetil,TABLET,500 mg,ORAL,J01DC02,,,,,1379/12/07,,
Cefuroxime,As Sodium,"INJECTION, POWDER",750 mg,PARENTERAL,J01DC02,,,,,1381/07/28,,
Celecoxib,,CAPSULE,100 mg,ORAL,M01AH01,,,,,1379/10/11,,
Celecoxib,,CAPSULE,200 mg,ORAL,M01AH01,,,,,1380/06/03,,
Celecoxib,,CAPSULE,400 mg,ORAL,M01AH01,,,,,1402/01/20,,
Cephalothin,As Sodium,"INJECTION, POWDER",1 g,PARENTERAL,J01DA04,,,Hospital only,,,,
Cetirizine,HCl,TABLET,10 mg,ORAL,R06AE07,,,OTC medicines,,,,
Cetirizine,HCl,"CAPSULE, LIQUID FILLED",10 mg,ORAL,R06AE07,,,OTC medicines,,1386/07/18,,
Cetirizine,HCl,TABLET,5 mg,ORAL,R06AE07,,,OTC medicines,,1381/02/09,,
Cetirizine,HCl,SYRUP,5mg/5ml ,ORAL,R06AE07,,,OTC medicines,,1381/02/09,,
Cetirizine+Pseudoephedrine,,"TABLET, EXTENDED RELEASE",,ORAL,R06AE,Cetirizine Dihydrochloride 5mg (Immediate Relaese )+Pseudoephedrine Hydrochloride 120mg,,OTC medicines,,1385/11/18,,
Cetrorelix,As Acetate,"INJECTION, POWDER",250 mcg,PARENTERAL,H01CC02,,,,,,,
Cetrorelix,As Acetate,"INJECTION, POWDER",3 mg,PARENTERAL,H01CC02,,,,,,,
Cetuximab,,INJECTION,2mg/ml,PARENTERAL,L01XC06,,Treatment of neck and head cancer for 65 Yrs old pateints with Karnofsky Performance status >90%,,,1387/11/06,,
Cetuximab,,INJECTION,5mg/ml,PARENTERAL,L01XC06,,Treatment of neck and head cancer for 65 Yrs old pateints with Karnofsky Performance status >90%,,,1389/03/31,,
Charcoal Activated,,TABLET,250 mg,ORAL,A07BA01,,,OTC medicines,,1375/07/01,,
Charcoal Activated,,SUSPENSION,30 g/240ml,ORAL,A07BA01,,,OTC medicines,,1369/10/30,,
Charcoal Activated,,"POWDER, FOR SUSPENSION",50 g,ORAL,A07BA01,,,OTC medicines,,1376/12/10    ,,
Charcoal Activated,,SUSPENSION,0.2 g/ml,ORAL,A07BA01,,,OTC medicines,,1395/10/07,,
Chloral Hydrate,,SOLUTION,250 mg/5ml,ORAL,N05CC01,,,,,1386/04/26,,
Chlorambucil,,TABLET,2 mg,ORAL,L01AA02,,,,, ,,
Chlorambucil,,CAPSULE,2 mg,ORAL,L01AA02,,,,,1396/04/18,,
Chloramphenicol,,SOLUTION/ DROPS,0.5%,OPHTHALMIC,S01AA01,,,,,,,
Chloramphenicol,As Sodium Succinate,"INJECTION, POWDER",1 g,PARENTERAL,J01BA01,,,Hospital only,,,,
Chloramphenicol,As Palmitate,SUSPENSION,150 mg/5ml,ORAL,J01BA01,,,,,,,
Chloramphenicol,,CAPSULE,250 mg,ORAL,J01BA01,,,,,,,
Chlordiazepoxide,,TABLET,10 mg,ORAL,N05BA02,,,,تحت کنترل (سبز),,,
Chlordiazepoxide,,TABLET,5 mg,ORAL,N05BA02,,,,تحت کنترل (سبز),,,
Chlorhexidine Gluconate,,SOLUTION,4%,TOPICAL,D08AC02,,,OTC medicines,,1387/05/16,,
Chlormadinone+Ethinyl Estradiol,,TABLET,,ORAL,G03FB03,Chlormadinone Acetate 2 mg + Ethinyl Estradiol 0.03 mg,,,,1385/08/09,,
Chlormethine (Nitrogen mustard),HCl,"INJECTION, POWDER",10 mg,PARENTERAL,L01AA05,,,,,1362/09/27,,
Chloroquine,As Sulfate,SYRUP,25 mg/5ml,ORAL,P01BA01,,,,,,,
Chloroquine,Phosphate,TABLET,250 mg,ORAL,P01BA01,,,,,1360/02/02,,
Chloroquine,AS Phosphate,TABLET,150 mg,ORAL,P01BA01,,,,,1397/03/27,,
Chloroquine,As Phosphate,INJECTION,30 mg/ml,PARENTERAL,P01BA01,,,,,,,
Chloroquine,As Phosphate,INJECTION,40 mg/ml,PARENTERAL,P01BA01,,,,,,,
Chloroquine,As Sulfate,SYRUP,50 mg/5ml,ORAL,P01BA01,,,,,1369/05/21,,
Chloroquine,Phosphate,SUSPENSION,80 mg/5ml,ORAL,P01BA01,,,For Health Dept. of MOH only,,1396/05/28,,
Chloroquine,Sulfate,INJECTION,50 mg/ml,PARENTERAL,P01BA01,,,,,,,
Chlorpheniramine,Maleate,INJECTION,10 mg/ml,PARENTERAL,R06AB04,,,,,,,
Chlorpheniramine,Maleate,SYRUP,2 mg/5ml,ORAL,R06AB04,,,OTC medicines,,1378/01/22,,
Chlorpheniramine,Maleate,TABLET,4 mg,ORAL,R06AB04,,,OTC medicines,,1369/10/30,,
Chlorpheniramine,Maleate,"TABLET, EXTENDED RELEASE",8 mg,ORAL,R06AB04,,,OTC medicines,,1360/09/29,,
Chlorpheniramine +phenylephrine ,,SYRUP,,ORAL,R01BA53,(Chlorpheniramine Maleate1mg+phenylephrine HCL 2.5mg)/ 5ml,,OTC medicines,,1395/07/28,,
Chlorpheniramine+Dextromethorphan+Phenylephrin,,SYRUP,,ORAL,R05DA20,(Chlorpheniramine Maleate 2mg+Dextromethorphan HBr 15mg+Phenylephrine 5mg)/ 5ml,,OTC medicines,تحت کنترل ( سبز),1395/08/12,,
Chlorpheniramine+Guaifenesin+Phenylephrin,,SYRUP,,ORAL,R05DA20,(Chlorpheniramine Maleate 2mg+Guaifenesin 100mg+Phenylephrine 5mg)/ 5ml,,OTC medicines,,1395/10/07,,
Chlorpromazine,HCl,TABLET,100 mg,ORAL,N05AA01,,,,,1379/01/29,,
Chlorpromazine,HCl,SOLUTION,25 mg/5 ml,ORAL,N05AA01,,,,,1397/11/14,,
Chlorpromazine,HCl,TABLET,25 mg,ORAL,N05AA01,,,,,1379/01/29,,
Chlorpromazine,HCl,INJECTION,25 mg/ml,INTRAMUSCULAR,N05AA01,,,,, ,,
Chlorpropamide,,TABLET,250 mg,ORAL,A10BB02,,,,,,,
Chlorthalidone,,TABLET,100 mg,ORAL,C03BA04,,,,,,,
Chlorthalidone,,TABLET,25 mg,ORAL,C03BA04,,,,,1399/12/26,,
Chlorthalidone,,TABLET,50 mg,ORAL,C03BA04,,,,,1399/12/26,,
Cholera Vaccine,,SUSPENSION,,ORAL,J07AE01,,,,Inactivated ,1393/06/02,,
Cholestyramine,,"POWDER, FOR SUSPENSION",4 g,ORAL,C10AC01,,,,sachet,,,
Choriogonadotropin Alfa,,INJECTION,500 mcg/ml,PARENTERAL,G03GA08,,,,Recombinant,1385/11/24,,
Chorionic Gonadotrophin (Human),,"INJECTION, POWDER",1500 U,PARENTERAL,G03GA01,,,,,,,
Chorionic Gonadotrophin (Human),,"INJECTION, POWDER",500 U,PARENTERAL,G03GA01,,,,,,,
Chorionic Gonadotrophin (Human),,"INJECTION, POWDER",5000 U ,PARENTERAL,G03GA01,,,,,,,
Chorionic Gonadotrophin (Human),,"INJECTION, POWDER",10000  IU,PARENTERAL,G03GA01,,,,,1400/03/19,,
Ciclesonide,,"AEROSOL, METERED",160mcg/puff  ,INHALATION,R03BA08,,,,Need to be assessed by clinical trial before registration.         For local production only,1389/05/30,,
Ciclesonide,," SPRAY, SUSPENSION",50mcg/Actuation,INTRANASAL,R01AD13,,,,For local production only,1390/07/04,,
Ciclesonide,,"AEROSOL, METERED",80mcg/puff  ,INHALATION,R03BA08,,,,Need to be assessed by clinical trial before registration.           For local production only,1389/05/30,,
Ciclosporin,,SOLUTION,0.05%,OPHTHALMIC,S01XA18,,,,,1386/04/27,,
Ciclosporin,,SOLUTION,2%,OPHTHALMIC,S01XA18,,"Treatment of patients at high risk of graft rejection following penetrating keratoplasty.
For use in corneal melting syndromes of known or presumed immunologic etiopathogenesis, including Mooren's ulcer.",,,,,
Ciclosporin,,"CAPSULE, LIQUID FILLED",100 mg,ORAL,L04AA01,,"Kidney, liver and heart transplantation, rheumatoid arthritis, psoriasis",,,,,
Ciclosporin,,SOLUTION,100 mg/ml,ORAL,L04AA01,,,,,1363/04/31,,
Ciclosporin,,"CAPSULE, LIQUID FILLED",25 mg,ORAL,L04AA01,,"Kidney, liver and heart transplantation, rheumatoid arthritis, psoriasis",,,,,
Ciclosporin,,"CAPSULE, LIQUID FILLED",50 mg,ORAL,L04AA01,,"Kidney, liver and heart transplantation, rheumatoid arthritis, psoriasis",,,,,
Ciclosporin,,"INJECTION, SOLUTION",50 mg/ml,INTRAVENOUS DRIP,L04AA01,,,,,,,
Cimetidine,As HCl,INJECTION,100 mg/ml,PARENTERAL,A02BA01,,,,,,,
Cimetidine,As HCl,TABLET,200 mg,ORAL,A02BA01,,,OTC medicines,,,,
Cimetidine,As HCl,SYRUP,200 mg/5ml,ORAL,A02BA01,,,,, 1374/07/30,,
Cinacalcet,As HCl,TABLET,30 mg,ORAL,H05BX01,,,,,1391/02/07,,
Cinacalcet,As HCl,TABLET,60 mg,ORAL,H05BX01,,,,,1391/02/07,,
Cinacalcet,As HCl,TABLET,90 mg,ORAL,H05BX01,,,,,1391/02/07,,
Cinnarizine ,,TABLET,25 mg,ORAL,N07CA02,,,,,,,
Cinnarizine ,,TABLET,75 mg,ORAL,N07CA02,,,,,,,
Ciprofloxacin,As HCl,SOLUTION/ DROPS,0.3%,OPHTHALMIC,S01AE03 ,,,,,1373/11/09,,
Ciprofloxacin,As HCl,OINTMENT,0.3%,OPHTHALMIC,S01AE03 ,,,,,,,
Ciprofloxacin,As Lacate,"INJECTION, SOLUTION",10 mg/ml,INTRAVENOUS,J01MA02,,,,,,,
Ciprofloxacin,As Lactate,"INJECTION, SOLUTION",2 mg/ml,INTRAVENOUS DRIP,J01MA02,,,Hospital only,,1372/08/09,,
Ciprofloxacin,As HCl,TABLET,250 mg,ORAL,J01MA02,,,,,1372/08/09,,
Ciprofloxacin,,SUSPENSION,250 mg/5ml,ORAL,J01MA02,,,,,1390/12/22,,
Ciprofloxacin,As HCl,TABLET,500 mg,ORAL,J01MA02,,,,,1372/08/09,,
Ciprofloxacin,As HCl,TABLET,750 mg,ORAL,J01MA02,,,,,1396/07/22,,
Ciprofloxacin,,"TABLET, EXTENDED RELEASE",500 mg,ORAL,J01MA02,Containing both Ciprofloxacin base and Ciprofloxacin Hydrochloride,,,Bilayer tablet,1396/07/22,,
Ciprofloxacin,,"TABLET, EXTENDED RELEASE",1000 mg,ORAL,J01MA02,Containing both Ciprofloxacin base and Ciprofloxacin Hydrochloride,,,Bilayer tablet,1396/07/22,,
Ciprofloxacin+Dexamethasone,,SUSPENSION/ DROPS,,OTIC,S02AA,Ciprofloxacin (As Hydrochloride) 0.3% + Dexamethasone 0.1%,,,,1386/12/26,,
Cisatracurium,As Besylate,INJECTION,2 mg/ml,PARENTERAL,M03AC11,,,Hospital only,,,,
Cisatracurium,As Besylate,INJECTION,5 mg/ml,PARENTERAL,M03AC11,,,Hospital only,,,,
Cisplatin,,"INJECTION, SOLUTION ,CONCENTRATE",0.5 mg/ml,INTRAVENOUS DRIP,L01XA01,,,,,,,
Cisplatin,,"INJECTION, SOLUTION,CONCENTRATE",1 mg/ml,INTRAVENOUS DRIP,L01XA01,,,,,1391/11/02,,
Cisplatin,,"INJECTION, POWDER",10 mg,INTRAVENOUS DRIP,L01XA01,,,,,,,
Cisplatin,,"INJECTION, POWDER",50 mg,INTRAVENOUS DRIP,L01XA01,,,,, ,,
Citalopram,As HBr,TABLET,20 mg,ORAL,N06AB04,,,,,1379/12/07,,
Citalopram,As HBr,TABLET,40 mg,ORAL,N06AB04,,,,,1379/12/07,,
Citalopram,As HCl,SOLUTION/ DROPS,40 mg/ml,ORAL,N06AB04,,,,,1379/12/07,,
Citicoline,As Sodium,INJECTION,125 mg/ml,PARENTERAL,N06BX06,,,Hospital only,,1365/10/14,,
Citric acid+sodium bicarbonate+sodium citrate+tartaric acid,,POWDER,,ORAL,G01,Citric acid 0.72 g+sodium bicarbonate 1.76 g+sodium citrate 0.63 g+tartaric acid 0.89 g,,,,1399/07/15,,
Cladribine,,"INJECTION, SOLUTION",1mg/ml,INTRAVENOUS DRIP,L01BB04,,"Treatment of acute myeloid leukemia.
Treatment of the chronic progressive form of MS
Treatment of non-Hodgkin's lymphoma.",Orphan medicines;,,1374/03/28,,
Cladribine,,"INJECTION, SOLUTION",2 mg/ml,INTRAVENOUS DRIP,L01BB04,,"Treatment of acute myeloid leukemia.
Treatment of the chronic progressive form of MS
Treatment of non-Hodgkin's lymphoma.",Orphan medicines;,, 1381/07/28,,
Cladribine ,,TABLET,10 mg,ORAL,L04AA40 ,,RRMS (Relapsing-Remitting Multiple Sclerosis),,,1402/05/05,,
Clarithromycin,,"POWDER, FOR SUSPENSION",125 mg/5ml,ORAL,J01FA09,,,,,1379/10/11,,
Clarithromycin,,"GRANULE, FOR SUSPENSION",250 mg,ORAL,J01FA09,,,,sachet, 1384/04/20,,
Clarithromycin,,TABLET,250 mg,ORAL,J01FA09,,,,, 1379/10/11,,
Clarithromycin,,"POWDER, FOR SUSPENSION",250 mg/5ml,ORAL,J01FA09,,,,,1386/06/28,,
Clarithromycin,,TABLET,500 mg,ORAL,J01FA09,,,,,1380/06/25,,
Clarithromycin,,"TABLET, EXTENDED RELEASE",500 mg,ORAL,J01FA09,,,,,1397/06/24,,
Clemastine,As Fumarate,INJECTION,1 mg/ml,PARENTERAL,R06AA04,,, ,,,,
Clemastine,As Fumarate,TABLET,1mg,ORAL,R06AA04,,,OTC medicines,,,,
Clidinium+Chlordiazepoxide,,TABLET,,ORAL,A03CA02,Clidinium bromide 2.5mg + Chlordiazepoxide 5mg,,,,,,
Clindamycin,As Phosphate,CREAM,2%,VAGINAL,G01AA10,,,,,1397/03/12,,
Clindamycin,As HCl,CAPSULE,150 mg,ORAL,J01FF01,,,,,,,
Clindamycin,As Phosphate,INJECTION,150 mg/ml,PARENTERAL,J01FF01,,Treatment of Pneumocystis carinii pneumonia associated with AIDS patients.,Hospital only,,,,
Clindamycin,As HCl,CAPSULE,300 mg,ORAL,J01FF01,,,,,1386/03/23,,
Clindamycin ,As Palmitate Hydrochloride,SUSPENSION,75 mg/5ml,ORAL,J01FF01,,,,,,,
Clindamycin ,As Palmitate Hydrochloride,"POWDER, FOR  SOLUTION",75 mg/5ml,ORAL,J01FF01,,,,,1395/09/01,,
Clindamycin    ,As Phosphate,GEL,1%,TOPICAL,D10AF01,,,,,    1377/06/22,,
Clindamycin    ,As Phosphate,SWAB,1%,TOPICAL,D10AF01,,,,,1397/09/27,,
Clindamycin    ,As Phosphate,SOLUTION,10 mg/ml,TOPICAL,D10AF01,,,,, 1374/09/12,,
Clindamycin    ,As Phosphate,SUPPOSITORY,100 mg,VAGINAL,G01AA10,,,,,,,
Clindamycin+Clotrimazole,, CREAM,,VAGINAL,G01A,Clindamycin(as Phosphate ) 2% + Clotrimazole2%  W/W,,,,1392/03/21,,
Clindamycin+Tretinoin,,GEL,,TOPICAL,D10AF51,Clindamycin Phosphate 1.2% + Tretinoin 0.025%,,,,1386/12/26,,
Clobazam,,TABLET,10 mg,ORAL,N05BA09,,,,تحت کنترل (سبز),1371/08/03,,
Clobazam,,SUSPENSION,2.5 mg/ml,ORAL,N05BA09,,,,,1400/02/15,,
Clobazam,,TABLET,20 mg,ORAL,N05BA09,,,,,1402/05/05,,
Clobetasol,Propionate,CREAM,0.05%,TOPICAL,D07AD01,,,,,1359/07/13,,
Clobetasol,Propionate,LOTION,0.05%,TOPICAL,D07AD01,,,,,,,
Clobetasol,Propionate,OINTMENT,0.05%,TOPICAL,D07AD01,,,,,,,
Clobetasol,Propionate,SHAMPOO,0.05%,TOPICAL,D07AD01,,,,,1397/11/14,,
Clofazimine,,CAPSULE,100 mg,ORAL,J04BA01,,"Treatment of lepromatous leprosy, including dapsone-resistant lepromatous leprosy and lepromatous leprosy complicated by erythema nodosum leprosum.",Orphan medicines,,1362/09/20,,
Clofazimine,,CAPSULE,50 mg,ORAL,J04BA01,,"Treatment of lepromatous leprosy, including dapsone-resistant lepromatous leprosy and lepromatous leprosy complicated by erythema nodosum leprosum.",Orphan medicines,,1368/06/19,,
Clofibrate,,CAPSULE,500 mg,ORAL,C10AB01,,,,,,,
Clomiphene,Citrate,TABLET,50 mg,ORAL,G03GB02,,,,,,,
Clomipramine,HCl,TABLET,10 mg,ORAL,N06AA04,,,,,,,
Clomipramine,HCl,TABLET,25 mg,ORAL,N06AA04,,,,,,,
Clomipramine,HCl,TABLET,50 mg,ORAL,N06AA04,,,,,,,
Clomipramine,HCl,TABLET,75 mg,ORAL,N06AA04,,,,, 1375/07/01,,
Clonazepam,,TABLET,1 mg,ORAL,N03AE01,,,,تحت کنترل (سبز),,,
Clonazepam,,TABLET,2 mg,ORAL,N03AE01,,,,تحت کنترل (سبز), 1379/04/13,,
Clonazepam,,TABLET,0.5 mg,ORAL,N03AE01,,,,,1400/03/19,,
Clonidine,HCl,TABLET,0.2 mg,ORAL,C02AC01,,,,,,,
Clonidine,HCl,"PATCH, EXTENDED RELEASE",0.2 mg/24h,TRANSDERMAL,C02AC01,,,,,,,
Clopidogrel, as Bisulfate,TABLET,300 mg,ORAL,B01AC04,,,Hospital only,,1390/03/09,,
Clopidogrel, as Bisulfate,TABLET,75 mg,ORAL,B01AC04,,,,,1380/05/07,,
Clotrimazole ,,CREAM,1%,TOPICAL,D01AC01,,,,,,,
Clotrimazole ,,SOLUTION,1%,TOPICAL,D01AC01,,,,,,,
Clotrimazole ,,CREAM,1%,VAGINAL,G01AF02,,,OTC medicines,,,,
Clotrimazole ,,CREAM,2%,VAGINAL,G01AF02,,,OTC medicines,,1381/02/09,,
Clotrimazole ,,SUPPOSITORY,100 mg,VAGINAL,G01AF02,,,OTC medicines,,,,
Clotrimazole ,,TABLET,100 mg,VAGINAL,G01AF02,,,OTC medicines,,,,
Clotrimazole ,,SUPPOSITORY,200 mg,VAGINAL,G01AF02,,,OTC medicines,,,,
Clotrimazole ,,SUPPOSITORY,500 mg,VAGINAL,G01AF02,,,,,1381/07/28,,
Clotrimazole ,,TABLET,500 mg,VAGINAL,G01AF02,,,,,,,
Clotrimazole ,,"CAPSULE, LIQUID FILLED",500 mg,VAGINAL,G01AF02,,,,,1393/06/02,,
Clotrimazole+Betamethasone ,,CREAM,,TOPICAL,D07CC01,Clotrimazole 1% + Betamethasone (As Dipropionate) 0.05%,,,,1387/02/04,,
Clotrimazole+Betamethasone ,,LOTION,,TOPICAL,D07CC01,Clotrimazole 1% + Betamethasone (As Dipropionate) 0.05%,,,,1385/03/23,,
Clotrimazole+Hydrocortisone ,,CREAM,,TOPICAL,D01AC20,Clotrimazole 1% + Hydrocortison ( As Acetate) 1%,,,,1396/06/25,,
Cloxacillin,As Sodium,"INJECTION, POWDER",1g,PARENTERAL,J01CF02,,,,,1377/10/20    ,,
Cloxacillin,As Sodium,CAPSULE,250 mg,ORAL,J01CF02,,,,,1371/09/15,,
Cloxacillin,As Sodium,"INJECTION, POWDER",250 mg,PARENTERAL,J01CF02,,,,,,,
Cloxacillin,As Sodium,TABLET,250 mg,ORAL,J01CF02,,,,,,,
Cloxacillin,As Sodium,CAPSULE,500 mg,ORAL,J01CF02,,,,, 1371/09/15,,
Cloxacillin,As Sodium,"INJECTION, POWDER",500 mg,PARENTERAL,J01CF02,,,,,  ,,
Cloxacillin,As Sodium,TABLET,500 mg,ORAL,J01CF02,,,,,,,
Clozapine,,TABLET,100 mg,ORAL,N05AH02,,,,,,,
Clozapine,,TABLET,25 mg,ORAL,N05AH02,,,,,,,
Coal Tar,,LOTION,5%,TOPICAL,D05AA,,,,,,,
Coal Tar,,OINTMENT,2%,TOPICAL,D05AA,,,,,1396/03/21,,
Co-amoxiclav,,"POWDER, FOR SUSPENSION",,ORAL,J01CR02,(Amoxicillin(as trihydrate) 600mg+Clavulanic acid(as potassium) 42.9mg)/ 5ml,,,for local production only,1390/03/09,,
Co-amoxiclav,,"POWDER, FOR SUSPENSION",,ORAL,J01CR02,(Amoxicillin(as trihydrate) 125mg+Clavulanic acid(as potassium) 31.25mg)/5ml,,,,,,
Co-amoxiclav,,"POWDER, FOR SUSPENSION",,ORAL,J01CR02,(Amoxicillin(as trihydrate) 125mg+Clavulanic acid(as potassium) 31.25mg)/Sachet  ,,,,,,
Co-amoxiclav,,"POWDER, FOR SUSPENSION",,ORAL,J01CR02,(Amoxicillin(as trihydrate) 200mg+Clavulanic acid(as potassium) 28.5 mg)/5ml  ,,,,,,
Co-amoxiclav,,"POWDER, FOR SUSPENSION",,ORAL,J01CR02,(Amoxicillin(as trihydrate) 250mg+Clavulanic acid(as potassium) 62.5mg)/5ml   ,,,,,,
Co-amoxiclav,,"POWDER, FOR SUSPENSION",,ORAL,J01CR02,(Amoxicillin(as trihydrate) 250mg+Clavulanic acid(as potassium) 62.5mg)/Sachet  ,,,,,,
Co-amoxiclav,,"POWDER, FOR SUSPENSION",,ORAL,J01CR02,(Amoxicillin(as trihydrate) 400mg+Clavulanic acid(as potassium) 57 mg)/5ml  ,,,,,,
Co-amoxiclav,,"INJECTION, POWDER, FOR SOLUTION",,PARENTERAL,J01CR02,Amoxicillin(as sodium)1000mg+Clavulanic acid(as potassium)200mg  ,,Hospital only,,1392/03/21,,
